# (c) Scikit-HEP project - Particle package data file - pdgid_to_pythiaid.csv - version 13 - 2023-07-03
PDGID,PYTHIAID
-5103,-5103
5112,5112
-5112,-5112
5114,5114
-5114,-5114
5122,5122
-5122,-5122
5124,5124
-5124,-5124
5132,5132
-5132,-5132
5142,5142
-5142,-5142
5201,5201
-5201,-5201
5203,5203
-5203,-5203
5212,5212
-5212,-5212
5214,5214
-5214,-5214
5222,5222
-5222,-5222
5224,5224
-5224,-5224
5232,5232
-5232,-5232
5242,5242
-5242,-5242
5301,5301
-5301,-5301
5303,5303
-5303,-5303
5312,5312
-5312,-5312
5314,5314
-5314,-5314
5322,5322
-5322,-5322
5324,5324
-5324,-5324
5332,5332
-5332,-5332
5334,5334
-5334,-5334
5342,5342
-5342,-5342
5401,5401
-5401,-5401
5403,5403
-5403,-5403
5412,5412
-5412,-5412
5414,5414
-5414,-5414
5422,5422
-5422,-5422
5424,5424
-5424,-5424
5432,5432
-5432,-5432
5434,5434
-5434,-5434
5442,5442
-5442,-5442
5444,5444
-5444,-5444
5503,5503
-5503,-5503
5512,5512
-5512,-5512
5514,5514
-5514,-5514
5522,5522
-5522,-5522
5524,5524
-5524,-5524
5532,5532
-5532,-5532
5534,5534
-5534,-5534
5542,5542
-5542,-5542
5544,5544
-5544,-5544
5554,5554
-5554,-5554
10113,10113
10213,10213
-10213,-10213
10221,10331
10223,10223
10311,10311
-10311,-10311
10313,10313
-10313,-10313
10321,10321
-10321,-10321
10323,10323
-10323,-10323
10333,10333
10411,10411
-10411,-10411
10413,10413
-10413,-10413
10421,10421
-10421,-10421
10423,10423
-10423,-10423
10431,10431
-10431,-10431
10433,10433
-10433,-10433
10441,10441
10443,10443
10511,10511
-10511,-10511
10513,10513
-10513,-10513
10521,10521
-10521,-10521
10523,10523
-10523,-10523
10531,10531
-10531,-10531
10533,10533
-10533,-10533
10541,10541
-10541,-10541
10543,10543
-10543,-10543
10551,10551
10553,10553
10555,10555
15122,15122
-15122,-15122
20113,20113
20213,20213
-20213,-20213
20223,20223
20313,20313
-20313,-20313
20323,20323
-20323,-20323
20333,20333
20413,20413
-20413,-20413
20423,20423
-20423,-20423
20433,20433
-20433,-20433
20443,20443
20513,20513
-20513,-20513
20523,20523
-20523,-20523
20533,20533
-20533,-20533
20543,20543
-20543,-20543
20553,20553
20555,20555
30343,30343
-30343,-30343
30353,30353
-30353,-30353
30363,30363
-30363,-30363
30443,30443
30553,30553
100441,100441
100443,100443
100553,100553
100555,100555
100557,100557
110551,110551
110553,110553
110555,110555
120553,120553
120555,120555
130553,130553
200553,200553
200555,200555
210551,210551
210553,210553
220553,220553
300553,300553
1000001,1000001
-1000001,-1000001
1000002,1000002
-1000002,-1000002
1000003,1000003
-1000003,-1000003
1000004,1000004
-1000004,-1000004
1000005,1000005
-1000005,-1000005
1000006,1000006
-1000006,-1000006
1000011,1000011
-1000011,-1000011
1000012,1000012
-1000012,-1000012
1000013,1000013
-1000013,-1000013
1000014,1000014
-1000014,-1000014
1000015,1000015
-1000015,-1000015
1000016,1000016
-1000016,-1000016
1000021,1000021
1000022,1000022
1000023,1000023
1000024,1000024
-1000024,-1000024
1000025,1000025
1000035,1000035
1000037,1000037
-1000037,-1000037
1000039,1000039
2000001,2000001
-2000001,-2000001
2000002,2000002
-2000002,-2000002
2000003,2000003
-2000003,-2000003
2000004,2000004
-2000004,-2000004
2000005,2000005
-2000005,-2000005
2000006,2000006
-2000006,-2000006
2000011,2000011
-2000011,-2000011
2000012,2000012
-2000012,-2000012
2000013,2000013
-2000013,-2000013
2000014,2000014
-2000014,-2000014
2000015,2000015
-2000015,-2000015
2000016,2000016
-2000016,-2000016
3000111,3000111
3000113,3000113
3000211,3000211
-3000211,-3000211
3000213,3000213
-3000213,-3000213
3000221,3000221
3000223,3000223
3000331,3000331
3100021,3100021
4000001,4000001
-4000001,-4000001
4000002,4000002
-4000002,-4000002
4000011,4000011
-4000011,-4000011
4000012,4000012
-4000012,-4000012
5000039,5000039
9000111,10111
9000211,10211
-9000211,-10211
9010221,10221
9042413,9042413
-9042413,-9042413
9910445,9910445
9920443,9920443
